,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,GE Italia Holding,0.7,0.9411764705882353,0.7894736842105263,0.55,0.8333333333333334,0.4166666666666667,1.0,0.2,0.4375,0.0
1,Medie Settore (Meccanica),0.54,0.6470588235294118,0.6526315789473685,0.49000000000000005,0.2666666666666667,0.33333333333333337,0.46875,0.36,0.375,0.2
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
